Numer,Uwagi/stan,type
KK-31,"po przejściach, urwane mocowanie siodełka, spawany przy śrubach, brak uchwytów na kolana/uda (raczej do sprzedania w przyszłości)",broken
KK-32,"brak grodzi",broken
KK-33,"wystająca siatka po spawaniu (trzeba zabezpieczyć/poprawić), urwany pasek od jednego boczka",warning
KK-34,"Kajak od Pana Benka, lekko sparciałe gumy od siodełka oraz od mocowania boczków, ale ogólnie w świetnym stanie",neutral
KK-35,"dopasować lepszy korek bo obecny nie jest idealny",warning
KK-36,"brak boczków , do wymiany sparciała gumeczka od oparcia, do spawania przy kokpicie",broken
KK-37,"oryginalny podnóżek na szynie, obecnie wypchany styrodurem",warning
KK-38,"cieknie, słaby outfit, ale ma pokrowiec",broken
KK-39,"duża dziura przy kokpicie, cały kokpit osylikonowany białym pultem, oparcie na taśmie i trytycce, mocno spawany na dupie, do sprzedania w pezyszlosci",broken
KK-40,"spawany na dupie z wklejoną siatką, był na zamykani doubravy, dwa razy zdał salze",warning
KK-41,"mocno spawany, nie nadaje się na grubsze pływanie, należy zabezpieczyć otwór w kokpicie przez który jest przeciągnięty pasek od siodełka żeby się nie strzępił, urwana taśmą od oparcia",broken
KK-42,"brak podnóżka, nowe boczki od Wave Sport, ogólnie elegancki, po naprawach (przymocowane siodełko, nowe boki siodełka z rzepem)",warning
KK-43,"kokpit do spawania, brak boczków",broken
KK-44,"cieknie na korku, ostre krawędzie kokpitu, boczki trudne w ścisłym dopasowaniu do kajaka, bardzo delikatny plastik - przewozić tylko na boku, śruby mocujące siodełko szybko się rozregulowują. Ułamane mocowanie siodełka z lewej strony (materiał ABS)",broken
KK-45,"cieknie na korku, ostre krawędzie kokpitu, boczki trudne w ścisłym dopasowaniu do kajaka, bardzo delikatny plastik - przewozić tylko na boku, śruby mocujące siodełko szybko się rozregulowują",broken
NULL_1,"wyłamane mocowanie siodełka (grubsza naprawa), brak grodzi z przodu, oderwany boczek prawy, urwane mocowanie od napinarki oparcia",broken
NULL_2,"obecnie w II magazynie PWr (ul Gdańska/Sopocka)",neutral
KK-29,"cieknie",broken
KN-1,"pęknięty kokpit, brak korka, środkowa ławka nie jest przykręcona",broken
KN-2,"kanadyjka szklana do naprawy (cieknie)",broken
AK-03,"rozerwana kieszonka",warning
AK-08,"kieszonka podjedzona przez myszy",warning
AK-09,"brak kieszonki, pianka wyjedzona przez myszy",broken
AK-10,"pas nadgryziony przez myszy",warning
AK-11,"brak pasa głównego, kieszonka wyżarta przez myszy",broken
AK-13,"kieszonka wyjedzona przez myszy",warning
AK-14,"gruz",broken
AK-16,"ma podjajnik",neutral
AK-17,"ma podjajnik w którym brakuje klamry",warning
AK-18,"kieszonka rozdarta",warning
AK-19,"kieszonka oderwana przez myszy, i rozdarcie (Kacper Strzelecki ją wziął żeby opracować metodę ścierania starych napisów)",broken
AK-30,"ma podjajnik",neutral
AK-38,"SĄ DWIE AK-38!!",neutral
AK-51,"brak klamry od głównego zapięcia ale za to jest kieszonka",warning
AK-28,"brak pasa bezpiecznikowego",warning
AK-29,"brak pasa bezpiecznikowego",warning
AK-31,"jest pas bezpiecznikowy",neutral
AK-32,"ramiączka oderwane i przyszyte",warning
AK-34,"jeden uchwyt zamka urwany",warning
AK-39,"jest pas bezpiecznikowy, ale klamra bez metalowego elementu",warning
AK-52,"jest pas bezpiecznikowy",neutral
AK-53,"jest pas bezpiecznikowy",neutral
AK-54,"brak pasa bezpiecznikowego",warning
AK-55,"brak pasa bezpiecznikowego",warning
AK-56,"brak pasa bezpiecznikowego",warning
AK-57,"brak pasa bezpiecznikowego",warning
AK-49,"gruz",broken
P-05,"xD",neutral
P-06,"uszkodzone pióro",warning
WK-03,"Zdeformowane lewe pióro",warning
WK-04,"Drążek był złamany ale jest respawn",warning
WK-07,"Nie ma ociekaczy, zaklejone taśmą z dwóch stron, klei się.",warning
WK-11,"Połamane lewe pióro",broken
WK-12,"Połamane z dwóch stron",broken
WK-13,"Otaśmowane z lewej strony, brak ociekaczy",warning
WK-15,"połamane jedno pióro",broken
WK-19,"Brak ociekaczy, zdeformowane pióra",warning
WK-21,"zniekształcony drążek, nie jest symetryczne, potaśmowana dwie strony (taśma porwana - klei się), zdeformowane pióra",broken
WK-22,"Potaśmowana prawa strona rączki, zdeformowane pióra",warning
WK-23,"Brak ociekaczy",warning
WK-24,"Składane ale nie da się rozłożyć",broken
WK-26,"Udaje karbon, brak ociekaczy",warning
WK-28,"Pęknięcie na jednym piórze, jedno pióro niefabryczne. Otasmowane z dwóch stron",broken
WK-29,"Jakieś resztki taśm, brak ociekaczy",warning
WK-30,"Proste, prawe pióro połamane, lewe leciutko uszczerbione, różne kształty piór, brak ociekaczy, carbon",broken
WK-31,"Jakby troche sztywniejsze, połamane prawe pióro, brak ociekaczy",broken
WK-32,"Proste, rozwalone gripy, pęknięte z jednej steony, warto podspawać, carbon, brak ociekaczy",broken
WK-33,"uszczerbione prawe pióro",warning
WK-34,"Do sprawdzenia",warning
WK-37,"brak ociekaczy",warning
WK-39,"od Mariana z podpisami klubowiczów. Do użytku klubowego, choć czasami do użytku Marianowego",neutral
WD-06,"Brak ociekaczy",warning
WD-15,"brak ociekaczy",warning
WD-19,"brak ociekaczy",warning
WD-20,"brak ociekaczy",warning
KFD-02,"Dziura",broken
KFD-04,"Lekka dziura",warning
KFD-06,"Dziura",broken
KFD-07,"dziura",broken
KFD-10,"Brak taśmy z przodu",warning
KFD-11,"Lekka dziura",warning
KFD-12,"dziura",broken
KFD-13,"Dziury na kominie",broken
KFD-17,"Ok, poprawić napis bo jest mało widoczny",neutral
KFD-18,"Dziurawy",broken
KFD-19,"Dziurawy",broken
KFD-22,"Dziurawy",broken
KFM-01,"3 Dziury",broken
KFM-04,"Urwany rant",broken
KFM-05,"Dziura na szwie i druga przy uchwycie",broken
KFM-07,"Dziura",broken
KFM-08,"Urwany rant i dziura",broken
KFM-10,"Urwany rant",broken
KFM-15,"Zapałka",neutral
KFN-01,"z szelkami, dziura z prawej strony",broken
KFN-02,"z szelkami (ale brakuje szelek)",broken
KW-01,"Stara jak świat, dziurawa",broken
KW-02,"Klejone taśmą",warning
KW-03,"Korek nie jest oryginalny",warning
KW-04,"Sklejana, korek nie jest oryginalny",warning
KW-05,"Korek nie jest oryginalny",warning
KW-06,"Korek nie jest oryginalny",warning
KW-07,"Duża, do kajaka bez grodzi",warning
KW-08,"zakrętka odpada (przekręca się na gwincie)",warning
KW-10,"Bez rurki",warning
KW-11,"Stara jak świat, dziurawa",broken
KW-12,"Korek nie jest oryginalny, długi wężyk, dziurawa",broken
KW-18,"Zewnętrzny materiał rozerwany, ale szczelna",warning
KW-19,"Zewnętrzny materiał rozerwany, ale szczelna",warning
KW-20,"Zewnętrzny materiał rozerwany, ale szczelna",warning
KW-21,"Zewnętrzny materiał rozerwany, ale szczelna",warning
KW-23,"Zewnętrzny materiał rozerwany, ale szczelna",warning
KW-24,"Zewnętrzny materiał rozerwany, ale szczelna",warning
KW-25,"Zewnętrzny materiał rozerwany, ale szczelna",warning
KW-29,"Była łatana w kilku miejscach",warning
OP-1,"Zły, dziury przy suwaku i na dupie, przetarte kolana",broken
OP-3,"Wielka dziura na dupie, przetarte kolana",broken
OP-6,"Odklejająca się łata na kolanie, dziura na dupie",broken
OP-8,"Lekko przetarte kolana, Zaskakująco mała dziura na dupie jak na ten rodzaj",warning
OP-9,"Dziura na dupie, drobne przetarcia",warning
OP-12,"Dziura na dupie i na łokciu, przetarte kolana",broken
OP-13,"Lekko przetarte kolana, Zaskakująco mała dziura na dupie jak na ten rodzaj",warning
OK-1,"Podarta gilza na szyi i na prawym nadgarstku (sparciałe gilzy)",warning
OK-3,"Raczej już pół mokra",broken
OK-4,"Podarty rękaw, odklejona taśma od szwów",warning
KS-02,"Tylnia regulacja pęknięta",warning
KS-04,"Urwane mocowanie stelaża, kask basenowy",broken
KS-06,"Brak regulacji",broken
KS-09,"Pęknięty, na basen",broken
KS-14,"Połamane ucho",broken
KS-15,"Brak regulacji, składak z różnych kasków",broken
KS-17,"Regulacja pęknięta",warning
KS-23,"Połamany stelaż z jednej strony, tylko na basen",broken
KS-24,"Brak regulacji",broken
KS-26,"Wyłamane trochę pianki z środka",warning

